,name,team,pos,score,error,setcount,at_try,at_succ,at_err,sv_succ,set_succ,bl_succ,rs_try,rs_corr,rs_fail,dg_succ
1,양효진,현대건설,C,2225.2,65,117,745,391,34,24,28,87,37,15,0,169
2,김희진,IBK기업은행,C,1884.2,105,104,923,333,58,16,14,49,6,1,1,229
3,배유나,한국도로공사,C,1479.4,67,117,366,153,20,27,28,76,25,8,1,164
4,이다현,현대건설,C,1296.0,51,117,320,150,20,10,18,86,27,12,2,123
5,이주아,흥국생명,C,1270.8,65,116,361,131,31,26,21,83,36,12,1,116
6,김수지,IBK기업은행,C,1244.0,63,108,314,123,17,22,24,72,5,2,1,126
7,정대영,한국도로공사,C,1208.8,25,115,247,83,8,20,18,80,31,5,6,167
8,김채연,흥국생명,C,1010.8,39,112,257,88,18,11,15,45,20,7,0,129
9,한수지,GS칼텍스,C,898.8,24,97,146,68,5,9,15,59,15,1,2,119
10,한송이,KGC인삼공사,C,867.0,27,86,188,75,9,7,20,46,19,4,0,113
11,박은진,KGC인삼공사,C,861.2,31,89,232,98,9,10,14,39,15,4,2,72
12,최가은,페퍼저축은행,C,809.6,63,103,250,76,18,17,22,38,19,1,2,82
13,정호영,KGC인삼공사,C,692.0,41,75,184,89,10,8,6,40,9,2,1,66
14,최정민,IBK기업은행,C,646.8,51,83,218,75,14,11,7,24,4,0,0,74
15,김유리,GS칼텍스,C,336.8,7,53,98,40,3,6,3,8,1,0,0,31
16,정지윤,현대건설,C,258.0,8,29,104,45,5,1,1,4,56,10,4,22
17,문명화,GS칼텍스,C,245.8,6,43,47,18,2,3,4,14,0,0,0,24
18,김현정,IBK기업은행,C,180.8,12,46,35,10,4,2,3,5,4,1,2,24
19,최민지,페퍼저축은행,C,117.4,10,25,30,10,2,2,1,3,0,0,0,16
20,변지수,흥국생명,C,87.6,8,23,13,4,2,1,0,5,0,0,0,14
21,김나희,흥국생명,C,67.8,1,14,17,8,1,0,1,1,0,0,0,8
22,박연화,페퍼저축은행,C,52.2,5,33,0,0,0,2,0,0,0,0,0,2
23,서채원,페퍼저축은행,C,46.4,7,19,15,3,2,1,1,0,0,0,0,2
24,하유정,한국도로공사,C,44.8,2,15,11,5,1,0,0,0,1,0,0,6
25,나현수,KGC인삼공사,C,33.0,7,23,6,0,5,0,1,2,0,0,0,2
26,정시영,현대건설,C,12.0,5,9,2,1,1,0,1,0,1,0,0,2
27,오세연,GS칼텍스,C,10.0,0,2,2,2,0,0,0,0,0,0,0,0
28,이예담,한국도로공사,C,6.8,1,5,2,0,0,0,0,0,0,0,0,0
29,이지수,KGC인삼공사,C,6.0,0,3,1,1,0,0,0,0,0,0,0,0
