,atsuccH,atsuccA,atcntH,atcntA,blcntH,blcntA,svcntH,svcntA,errcntH,errcntA,digcntH,digcntA,rscntH,rscntA,setcntH,setcntA
1,43.0,36.9,17.33,12.67,1.67,3.33,1.67,1.0,5.67,5.0,21.33,19.0,12.33,6.67,16.67,11.33
2,44.4,33.3,14.75,11.0,3.0,1.0,1.25,0.5,5.75,5.5,20.0,15.5,6.5,8.25,14.5,10.25
3,32.6,36.9,11.25,13.75,1.75,2.0,1.75,1.0,6.0,6.0,19.0,24.25,8.0,6.75,10.25,13.25
4,32.7,44.2,12.33,16.67,2.0,2.33,0.33,1.33,4.67,3.67,20.0,23.67,9.67,7.0,11.33,15.0
5,32.0,37.5,14.0,15.75,1.75,2.0,0.75,1.25,5.25,4.0,26.25,27.25,6.0,5.5,13.0,15.25
6,37.0,54.1,10.0,13.33,1.33,3.33,0.0,2.33,6.0,4.67,10.67,12.67,7.33,6.0,9.67,12.0
7,48.5,34.9,21.0,15.0,2.33,2.67,0.67,1.67,4.33,4.67,25.67,20.67,9.67,12.0,20.33,14.33
8,38.4,36.3,13.25,12.25,1.75,2.75,2.5,1.25,5.5,5.75,18.75,18.0,6.75,5.75,12.75,11.5
9,33.6,44.0,12.0,14.75,1.0,3.0,0.75,0.75,5.25,4.75,18.25,19.25,5.75,6.25,11.25,13.25
10,35.4,39.4,12.75,13.5,1.5,3.75,2.0,0.75,4.5,6.25,20.25,19.75,5.25,7.5,12.25,12.75
11,38.3,37.8,11.5,12.75,3.0,1.5,2.0,0.5,4.75,6.0,15.5,19.25,6.75,7.75,11.0,12.0
12,43.1,40.0,15.67,12.67,1.67,1.67,1.33,0.33,5.0,6.33,19.0,16.67,8.0,6.0,14.33,12.33
13,43.4,34.2,16.5,12.75,2.5,2.75,0.75,1.0,3.0,4.75,22.75,20.5,6.0,7.0,16.0,12.25
14,31.4,37.1,12.67,16.33,2.0,3.0,0.33,2.0,4.33,5.0,24.0,26.0,7.0,7.0,12.0,14.67
15,38.8,43.0,16.0,16.0,2.5,1.5,1.25,1.0,7.75,5.25,20.0,21.0,11.0,7.5,15.25,15.25
16,37.3,51.0,12.67,17.67,2.67,2.33,1.33,1.0,4.0,4.0,15.0,18.33,7.67,6.0,12.33,17.33
17,25.2,38.3,10.0,16.0,2.75,2.75,0.5,1.5,4.25,6.0,22.5,27.0,9.25,9.5,8.5,15.25
18,45.1,32.6,14.8,9.0,1.8,3.0,0.8,0.6,6.6,4.0,18.2,15.6,8.0,7.2,13.4,8.4
19,35.1,35.6,13.0,14.5,3.5,2.0,2.75,1.25,3.75,6.75,21.75,22.5,8.0,5.75,12.75,13.25
20,41.1,35.9,14.5,13.75,2.25,1.5,3.0,0.0,5.75,6.0,20.5,20.75,7.5,8.5,13.5,13.5
21,40.1,48.1,14.75,16.0,1.25,1.5,1.0,1.0,5.75,5.5,19.0,17.75,9.5,6.5,14.0,15.25
22,36.6,47.7,11.33,14.0,1.0,2.33,1.33,2.67,6.0,3.33,17.0,16.33,7.67,7.0,10.67,12.33
23,38.1,29.5,13.25,11.0,3.0,2.25,1.0,1.5,6.0,7.0,21.0,19.75,7.5,8.75,13.0,10.5
24,43.4,28.6,16.33,10.67,1.67,1.33,1.0,0.67,4.67,5.67,25.0,19.67,4.33,5.67,15.33,10.33
25,30.2,40.9,8.67,12.0,1.67,2.67,1.0,2.67,7.33,6.33,18.33,17.67,6.67,6.0,8.0,11.33
26,30.1,45.0,10.33,15.0,2.0,2.67,1.33,1.0,6.33,4.33,14.67,21.33,6.0,8.0,10.33,14.33
27,37.2,40.7,11.6,11.4,1.4,2.4,1.0,1.8,6.2,5.2,16.4,15.2,5.8,5.2,11.0,11.0
28,48.6,30.0,17.0,10.0,1.33,1.67,1.67,0.0,4.0,5.0,21.33,16.67,4.33,11.0,16.0,9.67
29,30.8,35.0,12.0,14.0,2.33,3.33,0.33,1.0,6.67,4.33,22.67,26.33,7.67,6.33,10.67,13.67
30,46.2,33.3,14.0,8.67,2.33,1.33,2.67,1.67,6.67,6.0,19.33,13.33,6.0,2.67,13.67,8.0
31,36.4,41.8,13.0,14.75,1.25,1.75,2.0,1.75,5.75,5.75,18.5,20.5,7.75,5.75,12.25,14.0
32,43.8,28.0,15.33,9.33,2.0,1.33,1.67,0.33,6.33,6.0,22.0,21.33,4.0,7.0,14.33,8.0
33,31.1,38.7,14.0,16.0,2.33,2.67,0.33,2.0,5.0,4.67,26.67,24.0,5.0,9.67,13.67,14.0
34,36.6,33.1,13.4,11.4,2.2,3.4,1.4,0.8,6.6,3.6,20.6,18.4,9.4,7.8,13.4,10.0
35,45.7,19.5,14.33,7.33,2.67,1.33,1.67,1.0,5.0,6.33,25.67,18.67,5.33,8.0,13.33,6.33
36,46.3,37.3,15.5,13.25,1.75,2.25,1.25,0.25,5.75,4.75,19.75,19.0,8.5,5.25,14.75,12.25
37,33.7,41.7,11.67,16.67,2.67,1.67,0.67,0.67,6.0,5.33,18.67,22.67,6.33,6.33,11.67,16.33
38,49.2,41.6,16.0,13.0,3.0,1.0,1.5,1.25,5.25,3.5,17.0,13.25,7.5,6.5,14.5,11.75
39,41.8,32.6,13.67,10.33,2.0,2.0,3.0,1.0,4.67,6.0,19.67,19.0,4.67,7.0,13.33,10.0
40,41.7,36.3,14.5,12.25,2.5,1.75,2.0,1.75,4.5,5.75,20.5,16.25,4.25,8.5,13.25,12.0
41,50.5,33.0,17.33,11.33,2.67,1.33,0.33,0.67,3.33,4.67,20.67,16.67,7.33,8.0,16.67,11.33
42,48.2,32.4,16.75,12.0,3.25,1.5,1.0,2.5,4.25,4.0,21.25,19.0,6.0,5.75,16.0,11.5
43,42.5,33.1,17.0,14.33,3.0,2.33,0.67,1.0,4.33,5.67,23.67,23.0,7.67,10.67,15.33,14.0
