,name,team,pos,score,error,setcount,at_try,at_succ,at_err,sv_succ,set_succ,bl_succ,rs_try,rs_corr,rs_fail,dg_succ
1,임명옥,한국도로공사,Li,1475.0,3,117,1,0,1,0,123,0,677,390,16,690
2,신연경,IBK기업은행,Li,1158.6,3,112,1,0,1,0,67,0,525,229,22,591
3,김연견,현대건설,Li,1099.0,4,113,0,0,0,0,89,0,477,213,26,560
4,오지영,GS칼텍스,Li,880.6,2,94,1,0,1,0,48,0,541,249,36,375
5,문슬기,페퍼저축은행,Li,841.8,2,99,1,0,1,0,69,0,568,224,42,307
6,노란,KGC인삼공사,Li,819.8,5,83,3,0,3,0,54,0,357,157,12,416
7,김해란,흥국생명,Li,596.4,2,58,0,0,0,0,59,0,211,82,16,335
8,도수빈,흥국생명,Li,589.2,3,60,1,0,1,0,38,0,271,116,12,294
9,김세인,페퍼저축은행,Li,334.4,0,84,0,0,0,0,19,0,36,11,0,185
10,채선아,KGC인삼공사,Li,331.2,1,37,0,0,0,0,25,0,183,82,10,140
11,한수진,GS칼텍스,Li,222.6,0,59,0,0,0,0,15,0,0,0,0,133
12,한다혜,GS칼텍스,Li,86.2,0,15,0,0,0,0,4,0,56,29,0,24
13,김수빈,IBK기업은행,Li,83.6,0,26,0,0,0,0,2,0,15,5,1,39
14,이영주,현대건설,Li,62.2,2,21,1,0,1,0,4,0,15,6,2,28
15,김주하,현대건설,Li,59.8,0,5,0,0,0,0,5,0,24,11,3,34
16,박상미,흥국생명,Li,42.2,0,16,0,0,0,0,0,0,3,1,1,23
17,이은지,페퍼저축은행,Li,7.8,0,4,0,0,0,0,0,0,0,0,0,2
18,김주희,GS칼텍스,Li,3.0,0,3,0,0,0,0,0,0,0,0,0,0
19,박혜미,한국도로공사,Li,3.0,0,3,0,0,0,0,0,0,0,0,0,0
20,차유정,GS칼텍스,Li,3.0,0,3,0,0,0,0,0,0,0,0,0,0
21,한미르,현대건설,Li,1.4,0,1,0,0,0,0,0,0,0,0,0,0
22,김정아,한국도로공사,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
23,서유경,KGC인삼공사,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
24,양유경,IBK기업은행,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
25,현무린,흥국생명,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
