,name,team,pos,score,error,setcount,at_try,at_succ,at_err,sv_succ,set_succ,bl_succ,rs_try,rs_corr,rs_fail,dg_succ
1,임명옥,한국도로공사,Li,1475.0,3,117,1,0,1,0,123,0,677,390,16,690
2,신연경,IBK기업은행,Li,1158.6,3,112,1,0,1,0,67,0,525,229,22,591
3,김연견,현대건설,Li,1099.0,4,113,0,0,0,0,89,0,477,213,26,560
4,오지영,GS칼텍스,Li,880.6,2,94,1,0,1,0,48,0,541,249,36,375
5,문슬기,페퍼저축은행,Li,841.8,2,99,1,0,1,0,69,0,568,224,42,307
6,노란,KGC인삼공사,Li,819.8,5,83,3,0,3,0,54,0,357,157,12,416
7,김해란,흥국생명,Li,596.4,2,58,0,0,0,0,59,0,211,82,16,335
8,도수빈,흥국생명,Li,589.2,3,60,1,0,1,0,38,0,271,116,12,294
9,김세인,페퍼저축은행,Li,334.4,0,84,0,0,0,0,19,0,36,11,0,185
10,채선아,KGC인삼공사,Li,331.2,1,37,0,0,0,0,25,0,183,82,10,140
11,한수진,GS칼텍스,Li,222.6,0,59,0,0,0,0,15,0,0,0,0,133
12,한다혜,GS칼텍스,Li,86.2,0,15,0,0,0,0,4,0,56,29,0,24
13,김수빈,IBK기업은행,Li,83.6,0,26,0,0,0,0,2,0,15,5,1,39
14,이영주,현대건설,Li,62.2,2,21,1,0,1,0,4,0,15,6,2,28
15,김주하,현대건설,Li,59.8,0,5,0,0,0,0,5,0,24,11,3,34
16,박상미,흥국생명,Li,42.2,0,16,0,0,0,0,0,0,3,1,1,23
17,이은지,페퍼저축은행,Li,7.8,0,4,0,0,0,0,0,0,0,0,0,2
18,김주희,GS칼텍스,Li,3.0,0,3,0,0,0,0,0,0,0,0,0,0
19,박혜미,한국도로공사,Li,3.0,0,3,0,0,0,0,0,0,0,0,0,0
20,차유정,GS칼텍스,Li,3.0,0,3,0,0,0,0,0,0,0,0,0,0
21,한미르,현대건설,Li,1.4,0,1,0,0,0,0,0,0,0,0,0,0
22,김정아,한국도로공사,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
23,서유경,KGC인삼공사,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
24,양유경,IBK기업은행,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
25,현무린,흥국생명,Li,1.0,0,1,0,0,0,0,0,0,0,0,0,0
26,이소영,KGC인삼공사,L,2311.4,102,105,873,310,51,22,32,31,616,267,23,391
27,김미연,흥국생명,L,2238.2,102,111,751,250,46,27,35,21,790,251,49,406
28,표승주,IBK기업은행,L,2175.4,57,102,775,285,29,17,24,28,755,231,30,302
29,강소휘,GS칼텍스,L,2127.2,109,99,811,302,58,28,20,21,617,242,34,336
30,박정아,한국도로공사,L,2094.0,113,115,1153,393,74,13,13,34,141,26,16,256
31,유서연,GS칼텍스,L,1958.8,59,100,644,250,30,20,28,12,553,225,22,355
32,이한비,페퍼저축은행,L,1930.4,91,105,791,238,40,11,21,13,695,237,33,334
33,황민경,현대건설,L,1815.0,69,112,536,171,25,21,28,14,527,186,22,428
34,박경현,페퍼저축은행,L,1714.8,94,96,610,217,30,15,22,10,741,205,41,275
35,김주향,IBK기업은행,L,1704.4,76,91,721,238,48,8,10,20,521,163,23,267
36,고예림,현대건설,L,1516.6,70,97,485,159,37,8,15,16,606,251,34,276
37,전새얀,한국도로공사,L,1500.0,49,115,510,179,26,7,14,39,556,163,28,192
38,박혜민,KGC인삼공사,L,1440.6,68,85,486,173,34,11,13,16,528,182,29,251
39,정윤주,흥국생명,L,1144.4,62,77,471,173,39,4,11,13,374,88,30,149
40,정지윤,현대건설,L,1036.2,54,65,363,159,27,3,4,25,334,107,10,112
41,산타나,IBK기업은행,L,866.0,39,46,353,155,19,2,3,4,200,59,9,128
42,최윤이,흥국생명,L,767.0,22,64,211,70,13,3,15,4,357,101,30,143
43,고의정,KGC인삼공사,L,716.0,51,98,249,74,20,20,1,6,242,48,19,104
