,name,team,pos,score,error,setcount,at_try,at_succ,at_err,sv_succ,set_succ,bl_succ,rs_try,rs_corr,rs_fail,dg_succ
1,캣벨,흥국생명,R,3286.8,173,113,1929,706,138,18,9,48,9,1,1,357
2,켈시,한국도로공사,R,3182.2,125,117,1638,691,86,14,1,70,2,1,1,294
3,모마,GS칼텍스,R,3055.4,176,104,1507,717,95,42,11,37,3,1,0,248
4,옐레나,KGC인삼공사,R,2927.2,108,111,1462,580,72,18,11,66,7,1,0,354
5,야스민,현대건설,R,2663.0,194,113,1344,576,101,50,10,49,1,1,0,232
6,엘리자벳,페퍼저축은행,R,2340.0,168,98,1286,533,110,17,3,48,3,0,1,197
7,문정원,한국도로공사,R,1252.6,52,114,229,68,11,16,34,7,630,283,39,271
8,하혜진,페퍼저축은행,R,988.0,42,102,298,101,19,15,9,40,40,7,3,116
9,라셈,IBK기업은행,R,885.2,53,47,517,180,38,8,3,11,0,0,0,88
10,김다은,흥국생명,R,580.0,29,37,215,71,19,5,8,11,198,58,21,81
11,황연주,현대건설,R,393.6,16,56,170,66,6,4,2,6,0,0,0,44
12,이은지,페퍼저축은행,R,122.4,5,71,0,0,0,1,0,0,2,1,0,14
13,문지윤,GS칼텍스,R,77.2,3,16,25,12,2,0,0,2,0,0,0,8
