,name,team,pos,score,error,setcount,at_try,at_succ,at_err,sv_succ,set_succ,bl_succ,rs_try,rs_corr,rs_fail,dg_succ
1,김다인,현대건설,S,1808.8,48,116,37,8,3,25,1222,7,6,0,5,288
2,김하경,IBK기업은행,S,1606.2,39,101,48,11,5,13,1003,22,3,0,3,253
3,안혜진,GS칼텍스,S,1464.6,56,97,42,15,1,19,1030,20,4,0,1,164
4,이현,페퍼저축은행,S,1243.0,36,93,37,8,2,12,778,4,9,0,0,196
5,박혜진,흥국생명,S,1136.8,50,93,48,20,4,8,664,20,6,0,1,139
6,이고은,한국도로공사,S,1092.0,21,83,37,14,1,15,615,7,4,0,0,202
7,이윤정,한국도로공사,S,1086.2,31,86,40,12,2,9,671,4,5,0,0,166
8,김다솔,흥국생명,S,940.2,31,83,23,2,3,5,560,3,4,0,0,194
9,염혜선,KGC인삼공사,S,906.8,34,56,34,16,2,9,558,0,3,0,1,180
10,하효림,KGC인삼공사,S,901.8,35,64,23,5,4,7,592,5,2,0,1,124
11,구솔,페퍼저축은행,S,416.8,16,69,14,4,2,3,216,8,1,0,0,46
12,김지원,GS칼텍스,S,396.0,14,48,7,0,0,5,253,1,3,0,1,58
13,이나연,현대건설,S,294.4,13,52,2,0,0,1,198,0,2,0,0,42
14,조송화,IBK기업은행,S,275.6,11,22,13,2,1,2,148,2,1,0,0,59
15,김혜원,KGC인삼공사,S,191.0,6,20,12,4,1,1,106,2,0,0,0,31
16,이진,IBK기업은행,S,169.8,13,32,7,0,1,0,99,2,0,0,0,22
17,박사랑,페퍼저축은행,S,115.8,2,23,2,1,0,1,62,1,0,0,0,9
18,안예림,한국도로공사,S,47.8,0,16,1,0,0,0,18,1,0,0,0,3
19,이원정,GS칼텍스,S,47.0,0,4,1,1,0,0,24,2,1,0,1,6
20,박은서,흥국생명,S,8.4,0,1,1,1,0,0,3,0,0,0,0,1
21,김현지,현대건설,S,3.0,0,2,0,0,0,0,1,0,0,0,0,0
